name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
HK000,0.69897,0.5,-0.30103,1.69897,0.750804,0.497232,-0.24366,1.74527
HK001,0.69897,0.5,-0.30103,1.69897,0.563316,0.489168,-0.41502,1.54165
HK002,0.69897,0.5,-0.30103,1.69897,0.732126,0.499878,-0.267631,1.73188
HK003,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK004,0.69897,0.5,-0.30103,1.69897,0.657841,0.488948,-0.320056,1.63574
HK005,0.69897,0.5,-0.30103,1.69897,0.671769,0.49074,-0.309712,1.65325
HK006,0.69897,0.5,-0.30103,1.69897,0.712002,0.499708,-0.287414,1.71142
HK007,0.69897,0.5,-0.30103,1.69897,0.677567,0.492513,-0.30746,1.66259
HK008,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK009,0.69897,0.5,-0.30103,1.69897,0.673524,0.499967,-0.32641,1.67346
HK010,0.69897,0.5,-0.30103,1.69897,0.657426,0.489392,-0.321358,1.63621
HK011,0.69897,0.5,-0.30103,1.69897,0.716979,0.499858,-0.282736,1.7167
HK012,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK013,0.69897,0.5,-0.30103,1.69897,0.595005,0.49953,-0.404055,1.59406
HK014,0.69897,0.5,-0.30103,1.69897,0.661038,0.490799,-0.320561,1.64264
HK015,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK016,0.69897,0.5,-0.30103,1.69897,0.686993,0.499958,-0.312923,1.68691
HK017,0.69897,0.5,-0.30103,1.69897,0.567709,0.499356,-0.431003,1.56642
HK018,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK019,0.69897,0.5,-0.30103,1.69897,0.671118,0.499638,-0.328158,1.67039
HK020,0.69897,0.5,-0.30103,1.69897,0.720058,0.499848,-0.279637,1.71975
HK021,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK022,0.69897,0.5,-0.30103,1.69897,0.707594,0.499948,-0.292302,1.70749
HK023,0.69897,0.5,-0.30103,1.69897,0.669856,0.499828,-0.329801,1.66951
HK024,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK025,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK026,0.69897,0.5,-0.30103,1.69897,0.687239,0.49992,-0.312601,1.68708
HK027,0.69897,0.5,-0.30103,1.69897,0.660049,0.499956,-0.339864,1.65996
HK028,0.69897,0.5,-0.30103,1.69897,0.698351,0.49989,-0.301429,1.69813
