name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
HANIYES,0,5,-10,10,2.77948e-06,1.20878e-06,3.61912e-07,5.19704e-06
HANINO,0,5,-10,10,1.38974e-06,7.89256e-07,-1.88772e-07,2.96825e-06
HANITRF,0,5,-10,10,6.94871e-07,5.83457e-06,-1.09743e-05,1.2364e-05
VANI1,0,5,-10,10,-3.58351e-05,2.29334e-05,-8.17018e-05,1.00316e-05
VANI2,0,5,-10,10,-1.04753e-05,5.16746e-06,-2.08102e-05,-1.40387e-07
VANI3,0,5,-10,10,-5.55032e-06,1.70791e-05,-3.97085e-05,2.86079e-05
VANI4,0,5,-10,10,9.68466e-06,1.64052e-05,-2.31258e-05,4.24952e-05
SSALL,0,5,-10,10,3.64806e-06,3.55475e-05,-6.7447e-05,7.47431e-05
SYALL,0,5,-10,10,2.98784e-05,0.00122247,-0.00241506,0.00247482
KNW,0,5,-10,10,-6.80979e-06,5.9451e-06,-1.87e-05,5.08041e-06
KSDFM,0,5,-10,10,-2.19754e-06,1.75897e-06,-5.71548e-06,1.3204e-06
KINTR,0,5,-10,10,-4.15075e-05,2.91839e-05,-9.98753e-05,1.68603e-05
KVOLC,0,5,-10,10,6.60512e-05,0.000143611,-0.000221171,0.000353273
KSDMCWEST,0,5,-10,10,-1.31854e-05,2.97575e-05,-7.27005e-05,4.63297e-05
KSDM,0,5,-10,10,-2.31045e-06,7.77463e-07,-3.86538e-06,-7.55527e-07
KSDMC,0,5,-10,10,1.91089e-06,1.29847e-06,-6.86048e-07,4.50783e-06
KALLUV,0,5,-10,10,-2.68663e-05,3.79346e-05,-0.000102735,4.90029e-05
KAXIAL1,0,5,-10,10,-1.03797e-06,5.15789e-06,-1.13538e-05,9.27782e-06
KAXIAL2,0,5,-10,10,6.94866e-06,2.94441e-06,1.05983e-06,1.28375e-05
KSDEO,0,5,-10,10,-4.81201e-06,1.99811e-06,-8.80824e-06,-8.15784e-07
KSILTS,0,5,-10,10,7.20923e-06,9.7785e-06,-1.23478e-05,2.67662e-05
KCGSV,0,5,-10,10,-1.68941e-06,1.7769e-06,-5.2432e-06,1.86438e-06
KPDMT,0,5,-10,10,-4.49063e-06,9.73668e-06,-2.3964e-05,1.49827e-05
