iteration,_is_super,_lambda,_scale_factor,haniyes,hanino,hanitrf,vani1,vani2,vani3,vani4,ssall,syall,knw,ksdfm,kintr,kvolc,ksdmcwest,ksdm,ksdmc,kalluv,kaxial1,kaxial2,ksdeo,ksilts,kcgsv,kpdmt
0,0,0.1,1,1.00001,1,1,0.999884,0.999964,0.99998,1.00003,1.00001,1.00082,0.999978,0.999993,0.99986,1.00033,0.999958,0.999993,1.00001,0.999905,0.999997,1.00002,0.999984,1.00002,0.999994,0.999987
0,0,0.1,0.9,10.0002,10.0001,10,9.99759,9.99926,9.99959,10.0006,10.0002,10.0171,9.99955,9.99986,9.99709,10.0069,9.99914,9.99985,10.0001,9.99804,9.99994,10.0005,9.99968,10.0004,9.99988,9.99974
0,0,0.1,0.8,10.0002,10.0001,10,9.99786,9.99934,9.99964,10.0006,10.0002,10.0152,9.9996,9.99987,9.99741,10.0061,9.99923,9.99986,10.0001,9.99826,9.99994,10.0004,9.99971,10.0004,9.99989,9.99977
0,0,0.1,0.7,10.0001,10.0001,10,9.99813,9.99942,9.99968,10.0005,10.0002,10.0133,9.99965,9.99989,9.99774,10.0053,9.99933,9.99988,10.0001,9.99848,9.99995,10.0004,9.99975,10.0003,9.99991,9.9998
0,0,0.1,0.5,10.0001,10.0001,10,9.99866,9.99959,9.99977,10.0003,10.0001,10.0095,9.99975,9.99992,9.99838,10.0038,9.99952,9.99991,10.0001,9.99891,9.99996,10.0003,9.99982,10.0002,9.99993,9.99985
0,0,1,1,1.00001,1,1,0.999882,0.999966,0.999982,1.00003,1.00001,1.0001,0.999978,0.999993,0.999863,1.00022,0.999957,0.999992,1.00001,0.999912,0.999997,1.00002,0.999984,1.00002,0.999994,0.999985
0,0,1,0.9,10.0002,10.0001,10,9.99756,9.99929,9.99962,10.0007,10.0003,10.002,9.99954,9.99985,9.99717,10.0045,9.9991,9.99984,10.0001,9.99817,9.99993,10.0005,9.99967,10.0005,9.99988,9.99969
0,0,1,0.8,10.0002,10.0001,10,9.99783,9.99937,9.99966,10.0006,10.0002,10.0018,9.99959,9.99987,9.99749,10.004,9.9992,9.99986,10.0001,9.99837,9.99994,10.0004,9.99971,10.0004,9.9999,9.99973
0,0,1,0.7,10.0001,10.0001,10,9.9981,9.99944,9.99971,10.0005,10.0002,10.0016,9.99964,9.99988,9.9978,10.0035,9.9993,9.99988,10.0001,9.99858,9.99994,10.0004,9.99974,10.0004,9.99991,9.99976
0,0,1,0.5,10.0001,10.0001,10,9.99864,9.9996,9.99979,10.0004,10.0001,10.0011,9.99974,9.99992,9.99843,10.0025,9.9995,9.99991,10.0001,9.99898,9.99996,10.0003,9.99982,10.0003,9.99994,9.99983
0,0,10,1,1.00001,1,1,0.999891,0.999967,0.999981,1.00004,1.00001,1.00001,0.999977,0.999993,0.999888,1.00005,0.999962,0.999992,1.00001,0.999935,0.999997,1.00002,0.999984,1.00003,0.999995,0.999982
0,0,10,0.9,10.0002,10.0001,10,9.99773,9.99932,9.99961,10.0007,10.0002,10.0002,9.99952,9.99985,9.99768,10.001,9.99921,9.99984,10.0001,9.99866,9.99993,10.0005,9.99967,10.0005,9.9999,9.99963
0,0,10,0.8,10.0002,10.0001,10,9.99798,9.99939,9.99965,10.0007,10.0002,10.0002,9.99957,9.99987,9.99794,10.0009,9.9993,9.99986,10.0001,9.99881,9.99994,10.0004,9.99971,10.0005,9.99991,9.99967
0,0,10,0.7,10.0001,10.0001,10,9.99824,9.99947,9.9997,10.0006,10.0002,10.0002,9.99963,9.99988,9.9982,10.0008,9.99938,9.99988,10.0001,9.99896,9.99995,10.0004,9.99975,10.0004,9.99992,9.99971
0,0,10,0.5,10.0001,10.0001,10,9.99874,9.99962,9.99978,10.0004,10.0001,10.0001,9.99973,9.99992,9.99871,10.0006,9.99956,9.99991,10.0001,9.99926,9.99996,10.0003,9.99982,10.0003,9.99994,9.99979
0,0,20,1,1.00001,1,1,0.999901,0.999967,0.999979,1.00004,1.00001,1.00001,0.999977,0.999993,0.999906,1.00003,0.999967,0.999992,1.00001,0.999949,0.999997,1.00002,0.999985,1.00003,0.999996,0.999982
0,0,20,0.9,10.0002,10.0001,10,9.99795,9.99931,9.99957,10.0007,10.0002,10.0001,9.99953,9.99986,9.99806,10.0006,9.99932,9.99984,10.0001,9.99894,9.99994,10.0004,9.99968,10.0005,9.99991,9.99962
0,0,20,0.8,10.0002,10.0001,10,9.99818,9.99939,9.99962,10.0007,10.0002,10.0001,9.99958,9.99987,9.99827,10.0005,9.9994,9.99986,10.0001,9.99905,9.99995,10.0004,9.99972,10.0005,9.99992,9.99966
0,0,20,0.7,10.0001,10.0001,10,9.99841,9.99947,9.99967,10.0006,10.0002,10.0001,9.99963,9.99989,9.99849,10.0004,9.99947,9.99988,10.0001,9.99917,9.99995,10.0003,9.99975,10.0004,9.99993,9.99971
0,0,20,0.5,10.0001,10.0001,10,9.99886,9.99962,9.99976,10.0004,10.0001,10.0001,9.99974,9.99992,9.99892,10.0003,9.99962,9.99991,10.0001,9.99941,9.99997,10.0002,9.99982,10.0003,9.99995,9.99979
0,0,40,1,1.00001,1,1,0.999917,0.999966,0.999978,1.00003,1.00001,1,0.999978,0.999994,0.999929,1.00002,0.999975,0.999993,1.00001,0.999963,0.999998,1.00002,0.999985,1.00002,0.999996,0.999982
0,0,40,0.9,10.0002,10.0001,10,9.99828,9.9993,9.99954,10.0007,10.0002,10.0001,9.99955,9.99987,9.99853,10.0003,9.99948,9.99985,10.0001,9.99923,9.99995,10.0004,9.99969,10.0005,9.99992,9.99962
0,0,40,0.8,10.0002,10.0001,10,9.99847,9.99938,9.99959,10.0006,10.0001,10,9.9996,9.99988,9.99869,10.0003,9.99954,9.99986,10.0001,9.99931,9.99995,10.0004,9.99972,10.0005,9.99993,9.99966
0,0,40,0.7,10.0001,10.0001,10,9.99866,9.99946,9.99964,10.0006,10.0001,10,9.99965,9.9999,9.99886,10.0002,9.99959,9.99988,10.0001,9.9994,9.99996,10.0003,9.99976,10.0004,9.99994,9.9997
0,0,40,0.5,10.0001,10.0001,10,9.99904,9.99961,9.99974,10.0004,10.0001,10,9.99975,9.99993,9.99918,10.0002,9.99971,9.99991,10.0001,9.99957,9.99997,10.0002,9.99983,10.0003,9.99996,9.99979
0,0,100,1,1.00001,1,1,0.999943,0.999966,0.999979,1.00003,1,1,0.99998,0.999995,0.999959,1.00001,0.999985,0.999993,1.00001,0.999979,0.999998,1.00002,0.999986,1.00002,0.999997,0.999982
0,0,100,0.9,10.0002,10.0001,10,9.99881,9.9993,9.99956,10.0006,10.0001,10,9.99959,9.99989,9.99915,10.0001,9.99969,9.99985,10.0001,9.99956,9.99996,10.0004,9.99971,10.0005,9.99995,9.99962
0,0,100,0.8,10.0002,10.0001,10,9.99894,9.99937,9.99961,10.0005,10.0001,10,9.99963,9.9999,9.99924,10.0001,9.99973,9.99987,10.0001,9.99961,9.99996,10.0003,9.99974,10.0004,9.99995,9.99967
0,0,100,0.7,10.0001,10.0001,10,9.99908,9.99945,9.99966,10.0004,10.0001,10,9.99968,9.99991,9.99934,10.0001,9.99976,9.99989,10.0001,9.99966,9.99997,10.0003,9.99977,10.0004,9.99996,9.99971
0,0,100,0.5,10.0001,10,10,9.99934,9.99961,9.99975,10.0003,10.0001,10,9.99977,9.99994,9.99953,10.0001,9.99983,9.99992,10.0001,9.99976,9.99998,10.0002,9.99984,10.0003,9.99997,9.99979
0,0,1000,1,1.00001,1,1,0.999988,0.999975,0.999991,1,1,1,0.999991,0.999996,0.999994,1,0.999998,0.999994,1.00001,0.999998,1,1.00001,0.999988,1.00001,0.999999,0.99999
0,0,1000,0.9,10.0001,10.0001,9.99999,9.99975,9.99949,9.99982,10.0001,10,10,9.99981,9.99992,9.99988,10,9.99996,9.99989,10.0001,9.99995,10,10.0002,9.99974,10.0002,9.99998,9.9998
0,0,1000,0.8,10.0001,10.0001,9.99999,9.99978,9.99955,9.99984,10,10,10,9.99983,9.99993,9.9999,10,9.99996,9.9999,10.0001,9.99996,10,10.0002,9.99977,10.0002,9.99998,9.99982
0,0,1000,0.7,10.0001,10.0001,9.99999,9.99981,9.9996,9.99986,10,10,10,9.99985,9.99994,9.99991,10,9.99997,9.99991,10.0001,9.99996,10,10.0002,9.9998,10.0002,9.99998,9.99984
0,0,1000,0.5,10.0001,10,10,9.99986,9.99972,9.9999,10,10,10,9.99989,9.99996,9.99994,10,9.99998,9.99994,10.0001,9.99997,10,10.0001,9.99986,10.0001,9.99999,9.99989
